accuracy_mean,accuracy_std,auroc_mean,auroc_std,contract_correct,contract_scenario,contract_secondary_violation_mean,contract_secondary_violation_std,contract_violation_rate_mean,contract_violation_rate_std,hard_failures_mean,hard_failures_std,ledger_rows_mean,ledger_rows_std,non_tail_mean_probability_mean,non_tail_mean_probability_std,rare_positive_recall_mean,rare_positive_recall_std,scaler,scenario,tail_count_mean,tail_count_std,tail_false_positive_rate_mean,tail_false_positive_rate_std,tail_label_rate_mean,tail_label_rate_std,tail_mean_probability_mean,tail_mean_probability_std,tail_probability_gap_mean,tail_probability_gap_std,x0_policy
0.6307142857142857,0.02668659822799464,0.6804017646331701,0.03234011773482707,,,0.08330240866847112,0.0859450815205739,0.31959823536682985,0.03234011773482707,0.0,0.0,0.0,0.0,0.4968542505975876,0.02290117013613494,0.7263166463166464,0.20927470304369336,none,noise,15.9,4.00301610426869,0.5687433862433863,0.21507469977436666,0.5318116694144759,0.1251480638608204,0.5671237025293394,0.09026415976607825,0.07026945193175191,0.1013878668237367,
0.7377380952380952,0.024720167395261092,0.8046994654873613,0.020189680669499034,,,0.3828388465481841,0.0569672344101308,0.19530053451263873,0.020189680669499034,0.0,0.0,0.0,0.0,0.4766356198034997,0.024624101942264307,0.9891025641025641,0.034040815506030137,quantile,noise,15.9,4.00301610426869,0.953514911014911,0.10260123926353736,0.5318116694144759,0.1251480638608204,0.8594744663516838,0.04624147391413963,0.3828388465481841,0.0569672344101308,
0.6529761904761904,0.02901568610041852,0.7075708541490314,0.03084874202927905,True,noise,0.2473953025533398,0.08158802012314927,0.29242914585096874,0.03084874202927905,0.0,0.0,1.0,0.0,0.4865871022282858,0.02216776204240307,0.9532539682539682,0.08399730273963402,ranc,noise,15.9,4.00301610426869,0.8627200577200577,0.15105677215000624,0.5318116694144759,0.1251480638608204,0.7339824047816256,0.07282468527560201,0.2473953025533398,0.08158802012314927,log1p
0.6529761904761904,0.02901568610041852,0.7075708541490314,0.03084874202927905,True,noise,0.2473953025533398,0.08158802012314927,0.29242914585096874,0.03084874202927905,0.0,0.0,1.0,0.0,0.4865871022282858,0.02216776204240307,0.9532539682539682,0.08399730273963402,ranc_correct,noise,15.9,4.00301610426869,0.8627200577200577,0.15105677215000624,0.5318116694144759,0.1251480638608204,0.7339824047816256,0.07282468527560201,0.2473953025533398,0.08158802012314927,log1p
0.6307142857142857,0.026981631617773102,0.6804477106409579,0.03229202708133238,False,signal,0.08254800779950915,0.0851027928336684,0.31955228935904206,0.03229202708133238,0.0,0.0,1.0,0.0,0.49690843541786633,0.022877393138462827,0.7263166463166464,0.20927470304369336,ranc_wrong_noise,noise,15.9,4.00301610426869,0.5687433862433863,0.21507469977436666,0.5318116694144759,0.1251480638608204,0.5664564258249372,0.0894649411047113,0.06954799040707085,0.10051445798759572,zscore
0.6305952380952381,0.026654990259745482,0.6803949456169565,0.032352533879352136,,,0.08323734667368675,0.08591696402662292,0.3196050543830435,0.032352533879352136,0.0,0.0,0.0,0.0,0.49686129153578135,0.022856576050250616,0.7263166463166464,0.20927470304369336,robust,noise,15.9,4.00301610426869,0.5724470899470899,0.2216345445982487,0.5318116694144759,0.1251480638608204,0.5671056921609176,0.09017817772978012,0.07024440062513622,0.1013043799094467,
0.6307142857142857,0.026981631617773102,0.6804494141001194,0.03228780797696259,,,0.082560196790552,0.08510283889110647,0.31955058589988067,0.03228780797696259,0.0,0.0,0.0,0.0,0.49690776439285816,0.022876935166573447,0.7263166463166464,0.20927470304369336,standard,noise,15.9,4.00301610426869,0.5687433862433863,0.21507469977436666,0.5318116694144759,0.1251480638608204,0.5664678738735713,0.08947063202217452,0.06956010948071314,0.1005162942706508,
0.6466666666666666,0.04274341780231677,0.6982330824914939,0.05079998631734207,,,0.1901890275384628,0.1541003941123646,0.30176691750850615,0.05079998631734207,0.0,0.0,0.0,0.0,0.49199366630491337,0.022557735285985914,0.8373117623117623,0.19683360453861098,winsor,noise,15.9,4.00301610426869,0.7186640211640213,0.23776770055083712,0.5318116694144759,0.1251480638608204,0.6783688181405345,0.15399226900764054,0.18637515183562095,0.1594221169418223,
0.7023809523809523,0.035371922239910585,0.7789974592174942,0.03631750972524484,,,0.0,0.0,0.0013888888888888876,0.0076072577431273,0.0,0.0,0.0,0.0,0.46617990299188694,0.023950956752757834,0.9986111111111112,0.007607257743127299,none,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.99209264389972,0.020243011531166855,0.5259127409078329,0.028533539089392566,
0.6870238095238095,0.03133892461629831,0.7556270267487196,0.03389389425289283,,,0.0,0.0,0.19228107842238273,0.10463529397704165,0.0,0.0,0.0,0.0,0.4839807182081234,0.02186093136494243,0.8077189215776173,0.10463529397704165,quantile,signal,15.7,4.0611702067600985,0.3333333333333333,0.5163977794943223,0.984437017231135,0.03344195895505708,0.6863505413630482,0.06646894444909439,0.20236982315492477,0.06491986718223244,
0.6979761904761904,0.03425187335103528,0.7777219137882396,0.036615392858897845,True,signal,0.0,0.0,0.007175925925925927,0.023811923075915006,0.0,0.0,1.0,0.0,0.4664969237935353,0.023013105168814166,0.992824074074074,0.02381192307591502,ranc,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.9725096114172269,0.026718411823469443,0.5060126876236917,0.03142147051006572,zscore
0.6979761904761904,0.03425187335103528,0.7777219137882396,0.036615392858897845,True,signal,0.0,0.0,0.007175925925925927,0.023811923075915006,0.0,0.0,1.0,0.0,0.4664969237935353,0.023013105168814166,0.992824074074074,0.02381192307591502,ranc_correct,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.9725096114172269,0.026718411823469443,0.5060126876236917,0.03142147051006572,zscore
0.7022619047619049,0.03396560505864375,0.7767911055027574,0.03688594667163832,False,noise,0.0,0.0,0.03279367170671518,0.04245334676032016,0.0,0.0,1.0,0.0,0.4743497916671464,0.022316401157579484,0.9672063282932848,0.04245334676032015,ranc_wrong_signal,signal,15.7,4.0611702067600985,0.9166666666666666,0.2041241452319315,0.984437017231135,0.03344195895505708,0.8389074697664726,0.04587678280484104,0.36455767809932627,0.04674242308480398,log1p
0.7029761904761906,0.03576453771691479,0.7789974684399429,0.0362763607151911,,,0.0,0.0,0.0013888888888888876,0.0076072577431273,0.0,0.0,0.0,0.0,0.46620928155751085,0.02388042416896886,0.9986111111111112,0.007607257743127299,robust,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.9921096660164542,0.020143134696025838,0.5259003844589434,0.02838977631712427,
0.6979761904761904,0.03425187335103528,0.7777236177734274,0.036615037116057805,,,0.0,0.0,0.007175925925925927,0.023811923075915006,0.0,0.0,0.0,0.0,0.46649476973248466,0.023013123939252644,0.992824074074074,0.02381192307591502,standard,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.9725443403530516,0.02670827778126259,0.5060495706205671,0.03141469684396656,
0.7029761904761903,0.0350565459244214,0.7788733765691427,0.03625444832932776,,,0.0,0.0,0.0013888888888888876,0.0076072577431273,0.0,0.0,0.0,0.0,0.46624753439749017,0.0240138409038635,0.9986111111111112,0.007607257743127299,winsor,signal,15.7,4.0611702067600985,1.0,0.0,0.984437017231135,0.03344195895505708,0.9919673862169546,0.020502313572472387,0.5257198518194643,0.028791483344774563,
